date,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,Lag1
1969/1/1,107,1687,867,269,9059,0.102971812,12,107
1969/2/1,97,1508,825,265,7685,0.102362996,6,107
1969/3/1,102,1507,806,319,9963,0.102062491,12,97
1969/4/1,87,1385,814,407,10955,0.100873301,8,102
1969/5/1,119,1632,991,454,11823,0.101019673,10,87
1969/6/1,106,1511,945,427,12391,0.100581192,13,119
1969/7/1,110,1559,1004,522,13460,0.103773981,11,106
1969/8/1,106,1630,1091,536,14055,0.104076404,6,110
1969/9/1,107,1579,958,405,12106,0.103773981,10,106
1969/10/1,134,1653,850,437,11372,0.103026401,16,107
1969/11/1,147,2152,1109,434,9834,0.102730112,13,134
1969/12/1,180,2148,1113,437,9267,0.101997192,14,147
1970/1/1,125,1752,925,316,9130,0.101274563,14,180
1970/2/1,134,1765,903,311,8933,0.100703976,6,125
1970/3/1,110,1717,1006,351,11000,0.100139607,8,134
1970/4/1,102,1558,892,362,10733,0.098621104,11,110
1970/5/1,103,1575,990,486,12912,0.098349285,7,102
1970/6/1,111,1520,866,429,12926,0.098080177,13,103
1970/7/1,120,1805,1095,551,13990,0.097279208,13,111
1970/8/1,129,1800,1204,646,14926,0.097410624,11,120
1970/9/1,122,1719,1029,456,12900,0.097425237,11,129
1970/10/1,183,2008,1147,475,12034,0.096380633,14,122
1970/11/1,169,2242,1171,456,10643,0.095738956,16,183
1970/12/1,190,2478,1299,468,10742,0.095106306,14,169
1971/1/1,134,2030,944,356,10266,0.096735967,17,190
1971/2/1,108,1655,874,271,10281,0.096109222,16,134
1971/3/1,104,1693,840,354,11527,0.095367255,15,108
1971/4/1,117,1623,893,427,12281,0.094709592,13,104
1971/5/1,157,1805,1007,465,13587,0.09411762,13,117
1971/6/1,148,1746,973,440,13049,0.093532155,15,157
1971/7/1,130,1795,1097,539,16055,0.092954049,12,148
1971/8/1,140,1926,1194,646,15220,0.092839786,6,130
1971/9/1,136,1619,988,457,13824,0.092724736,9,140
1971/10/1,140,1992,1077,446,12729,0.092269651,13,136
1971/11/1,187,2233,1045,402,11467,0.091706685,14,140
1971/12/1,150,2192,1115,441,11351,0.091262072,15,187
1972/1/1,159,2080,1005,359,10803,0.090711603,14,150
1972/2/1,143,1768,857,334,10548,0.090276328,3,159
1972/3/1,114,1835,879,312,12368,0.089951918,12,143
1972/4/1,127,1569,887,427,13311,0.089099639,13,114
1972/5/1,159,1976,1075,434,13885,0.088679193,12,127
1972/6/1,156,1853,1121,486,14088,0.088159289,8,159
1972/7/1,138,1965,1190,569,16932,0.088902057,8,156
1972/8/1,120,1689,1058,523,16164,0.088181331,15,138
1972/9/1,117,1778,939,418,14883,0.088940293,8,120
1972/10/1,170,1976,1074,452,13532,0.08772661,5,117
1972/11/1,168,2397,1089,462,12220,0.087428846,17,170
1972/12/1,198,2654,1208,497,12025,0.08703543,14,168
1973/1/1,144,2097,903,354,11692,0.086449919,13,198
1973/2/1,146,1963,916,347,11081,0.085872641,5,144
1973/3/1,109,1677,787,276,13745,0.085398222,8,146
1973/4/1,131,1941,1114,472,14382,0.083821981,5,109
1973/5/1,151,2003,1014,487,14391,0.08459078,12,131
1973/6/1,140,1813,1022,505,15597,0.084136904,11,151
1973/7/1,153,2012,1114,619,16834,0.083778405,13,140
1973/8/1,140,1912,1132,640,17282,0.083510743,15,153
1973/9/1,161,2084,1111,559,15779,0.082806394,11,140
1973/10/1,168,2080,1008,453,13946,0.081178893,11,161
1973/11/1,152,2118,916,418,12701,0.082853607,10,168
1973/12/1,136,2150,992,419,10431,0.094190119,13,152
1974/1/1,113,1608,731,262,11616,0.092399843,8,136
1974/2/1,100,1503,665,299,10808,0.108161478,6,113
1974/3/1,103,1548,724,303,12421,0.107211689,8,100
1974/4/1,103,1382,744,401,13605,0.114042967,14,103
1974/5/1,121,1731,910,413,14455,0.112454116,12,103
1974/6/1,134,1798,883,426,15019,0.111316253,14,121
1974/7/1,133,1779,900,516,15662,0.110301252,13,134
1974/8/1,129,1887,1057,600,16745,0.108197177,9,133
1974/9/1,144,2004,1076,459,14717,0.107027443,4,129
1974/10/1,154,2077,919,443,13756,0.104946981,13,144
1974/11/1,156,2092,920,412,12531,0.119357749,6,154
1974/12/1,163,2051,953,400,12568,0.117621904,15,156
1975/1/1,122,1577,664,278,11249,0.133027421,12,163
1975/2/1,92,1356,607,302,11096,0.130845244,16,122
1975/3/1,117,1652,777,381,12637,0.128318477,7,92
1975/4/1,95,1382,633,279,13018,0.123547448,12,117
1975/5/1,96,1519,791,442,15005,0.118586812,10,95
1975/6/1,108,1421,790,409,15235,0.11633748,9,96
1975/7/1,108,1442,803,416,15552,0.115161476,9,108
1975/8/1,106,1543,884,511,16905,0.114501197,6,108
1975/9/1,140,1656,769,393,14776,0.113522979,7,106
1975/10/1,114,1561,732,345,14104,0.111930179,13,140
1975/11/1,158,1905,859,391,12854,0.110610529,14,114
1975/12/1,161,2199,994,470,12956,0.115274389,13,158
1976/1/1,102,1473,704,266,12177,0.113793486,14,161
1976/2/1,127,1655,684,312,11918,0.112349582,11,102
1976/3/1,125,1407,671,300,13517,0.111753469,11,127
1976/4/1,101,1395,643,373,14417,0.109642523,10,125
1976/5/1,97,1530,771,412,15911,0.108440895,4,101
1976/6/1,112,1309,644,322,15589,0.107884939,8,97
1976/7/1,112,1526,828,458,16543,0.109084769,9,112
1976/8/1,113,1327,748,427,17925,0.10757145,10,112
1976/9/1,108,1627,767,346,15406,0.106164022,10,113
1976/10/1,128,1748,825,421,14601,0.106299999,5,108
1976/11/1,154,1958,810,344,13107,0.104825313,13,128
1976/12/1,162,2274,986,370,12268,0.103451746,12,154
1977/1/1,112,1648,714,291,11972,0.10144992,10,162
1977/2/1,79,1401,567,224,12028,0.100402316,9,112
1977/3/1,82,1411,616,266,14033,0.098862034,7,79
1977/4/1,127,1403,678,338,14244,0.102496154,5,82
1977/5/1,108,1394,742,298,15287,0.103027432,10,127
1977/6/1,110,1520,840,386,16954,0.102178908,5,108
1977/7/1,123,1528,888,479,17361,0.099836643,6,110
1977/8/1,103,1643,852,473,17694,0.09263669,8,123
1977/9/1,97,1515,774,332,16222,0.091814963,6,103
1977/10/1,140,1685,831,391,14969,0.090724304,12,97
1977/11/1,165,2000,889,370,13624,0.090021207,15,140
1977/12/1,183,2215,1046,431,13842,0.089330706,7,165
1978/1/1,148,1956,889,366,12387,0.088442735,14,183
1978/2/1,111,1462,626,250,11608,0.088352569,4,148
1978/3/1,116,1563,808,355,15021,0.086757362,10,111
1978/4/1,115,1459,746,304,14834,0.084995242,8,116
1978/5/1,100,1446,754,379,16565,0.084567944,7,115
1978/6/1,106,1622,865,440,16882,0.084431899,11,100
1978/7/1,134,1657,980,500,18012,0.084350883,3,106
1978/8/1,125,1638,959,511,18855,0.083600983,5,134
1978/9/1,117,1643,856,384,17243,0.083417263,11,125
1978/10/1,122,1683,798,366,16045,0.08274514,10,117
1978/11/1,153,2050,942,432,14745,0.085235267,10,122
1978/12/1,178,2262,1010,390,13726,0.084770303,7,153
1979/1/1,114,1813,796,306,11196,0.084458921,10,178
1979/2/1,94,1445,643,232,12105,0.085352119,11,114
1979/3/1,128,1762,794,342,14723,0.087559213,9,94
1979/4/1,119,1461,750,329,15582,0.090382917,7,128
1979/5/1,111,1556,809,394,16863,0.090783294,8,119
1979/6/1,110,1431,716,355,16758,0.10874278,13,111
1979/7/1,114,1427,851,385,17434,0.114142227,8,110
1979/8/1,118,1554,931,463,18359,0.112992933,5,114
1979/9/1,115,1645,834,453,17189,0.111320706,8,118
1979/10/1,132,1653,762,373,16909,0.109126229,7,115
1979/11/1,153,2016,880,401,15380,0.107698459,12,132
1979/12/1,171,2207,1077,466,15161,0.107601574,10,153
1980/1/1,115,1665,748,306,14027,0.103775019,7,171
1980/2/1,95,1361,593,263,14478,0.10711417,4,115
1980/3/1,92,1506,720,323,16155,0.107374774,10,95
1980/4/1,100,1360,646,310,16585,0.111695373,4,92
1980/5/1,95,1453,765,424,18117,0.110638185,8,100
1980/6/1,114,1522,820,403,17552,0.111855211,8,95
1980/7/1,102,1460,807,406,18299,0.109742343,7,114
1980/8/1,104,1552,885,466,19361,0.108193932,10,102
1980/9/1,132,1548,803,381,17924,0.106255363,8,104
1980/10/1,136,1827,860,369,17872,0.104193034,14,132
1980/11/1,117,1737,825,378,16058,0.101933973,8,136
1980/12/1,137,1941,911,392,15746,0.102793825,9,117
1981/1/1,111,1474,704,284,15226,0.104760341,8,137
1981/2/1,106,1458,691,316,14932,0.104002536,6,111
1981/3/1,98,1542,688,321,16846,0.116655515,7,106
1981/4/1,84,1404,714,358,16854,0.115161476,6,98
1981/5/1,94,1522,814,378,18146,0.112989543,5,84
1981/6/1,105,1385,736,382,17559,0.113860644,4,94
1981/7/1,123,1641,876,433,18655,0.119118081,5,105
1981/8/1,109,1510,829,506,19453,0.124489986,10,123
1981/9/1,130,1681,818,428,17923,0.123222945,7,109
1981/10/1,153,1938,942,479,17915,0.120677932,10,130
1981/11/1,134,1868,782,370,16496,0.121048983,12,153
1981/12/1,99,1726,823,349,13544,0.116968571,7,134
1982/1/1,115,1456,595,238,13601,0.112750259,4,99
1982/2/1,104,1445,673,285,15667,0.108079307,5,115
1982/3/1,131,1456,660,324,17358,0.108838516,6,104
1982/4/1,108,1365,676,346,18112,0.111291766,4,131
1982/5/1,103,1487,755,410,18581,0.111304009,4,108
1982/6/1,115,1558,815,411,18759,0.115454358,8,103
1982/7/1,122,1488,867,496,20668,0.114768296,8,115
1982/8/1,122,1684,933,534,21040,0.117207431,3,122
1982/9/1,125,1594,798,396,18993,0.119076397,7,122
1982/10/1,137,1850,950,470,18668,0.117965862,12,125
1982/11/1,138,1998,825,385,16768,0.117449127,2,137
1982/12/1,152,2079,911,411,16551,0.116988458,7,138
